Car Velocity,Downforce(0kmph),Downforce(0kmph),Downforce(35kmph),Downforce(35kmph),Drag(0kmph) kgf,Drag(0kmph),Drag(35kmph),Drag(35kmph) [N]
0,0,0,0,0,0,0,0,0
10,1,9.807,9,88.263,0,0,1,9.807
20,5,49.035,16,156.912,1,9.807,3,29.421
30,11,107.877,28,274.596,2,19.614,4,39.228
40,18,176.526,39,382.473,4,39.228,7,68.649
50,32,313.824,54,529.578,6,58.842,10,98.07
60,44,431.508,73,715.911,10,98.07,13,127.491
70,64,627.648,94,921.858,14,137.298,17,166.719
80,81,794.367,115,1127.805,17,166.719,21,205.947
90,104,1019.928,142,1392.594,22,215.754,26,254.982
100,127,1245.489,171,1676.997,27,264.789,31.5,308.9205
110,155,1520.085,201,1971.207,33,323.631,37.33,366.09531
120,184,1804.488,234,2294.838,40,392.28,43.5,426.6045
130,214,2098.698,269,2638.083,47,460.929,51,500.157
140,250,2451.75,313,3069.591,54,529.578,57,558.999
150,291,2853.837,353,3461.871,62,608.034,64,627.648
160,327,3206.889,401,3932.607,69,676.683,72.25,708.55575
170,377,3697.239,448,4393.536,79,774.753,80,784.56
180,420,4118.94,500,4903.5,88,863.016,89,872.823
190,469,4599.483,551,5403.657,98,961.086,98,961.086
200,525,5148.675,606,5943.042,109,1068.963,106.5,1044.4455
210,576,5648.832,665,6521.655,119,1167.033,116,1137.612
220,638,6256.866,728,7139.496,130,1274.91,127,1245.489
230,695,6815.865,793,7776.951,141,1382.787,137,1343.559
240,755,7404.285,856,8394.792,143,1402.401,147,1441.629
250,821,8051.547,924,9061.668,165,1618.155,158,1549.506
260,880,8630.16,997,9777.579,178,1745.646,168,1647.576
270,960,9414.72,1074,10532.718,192,1882.944,181,1775.067
280,1031,10111.017,1144,11219.208,205,2010.435,192,1882.944
290,1105,10836.735,1225,12013.575,215,2108.505,201,1971.207
300,1181,11582.067,1305,12798.135,234,2294.838,217,2128.119
310,1260,12356.82,1384,13572.888,248,2432.136,229,2245.803
320,1343,13170.801,1466,14377.062,263,2579.241,241,2363.487
330,1419,13916.133,1551,15210.657,278,2726.346,254,2490.978
332,1450,14220.15,1598,15671.586,280,2745.96,256,2510.592
340,,,,,,,,
